#,Latitude,Longitude,Prod ID,Price,Capacity
d1,43.2674888,-89.4217271,p1,0,1000000
d2,43.2674888,-89.4217271,p1,0,1000000
d3,43.2674888,-89.4217271,p3,0,1000000
d4,43.2674888,-89.4217271,p3,0,1000000
d5,43.2674888,-89.4217271,p2,0.08,100000000000000000000
d6,43.2674888,-89.4217271,p2,0.08,100000000000000000000
d7,43.5602046,-88.4524125,p1,0,1000000
d8,43.5602046,-88.4524125,p3,0,1000000
d9,43.5602046,-88.4524125,p2,0.08,100000000000000000000
d10,43.5635398,-88.398095,p1,0,1000000
d11,43.5635398,-88.398095,p3,0,1000000
d12,43.5635398,-88.398095,p2,0.08,100000000000000000000
d13,43.667986,-88.862655,p1,0,1000000
d14,43.667986,-88.862655,p3,0,1000000
d15,43.667986,-88.862655,p2,0.08,100000000000000000000
d16,43.646505,-88.9087327,p1,0,1000000
d17,43.646505,-88.9087327,p3,0,1000000
d18,43.646505,-88.9087327,p2,0.08,100000000000000000000
d19,43.459701,-88.427915,p1,0,1000000
d20,43.459701,-88.427915,p3,0,1000000
d21,43.459701,-88.427915,p2,0.08,100000000000000000000
d22,42.80393,-88.686927,p1,0,1000000
d23,42.80393,-88.686927,p3,0,1000000
d24,42.80393,-88.686927,p2,0.08,100000000000000000000
d25,43.486086,-88.741235,p1,0,1000000
d26,43.486086,-88.741235,p3,0,1000000
d27,43.486086,-88.741235,p2,0.08,100000000000000000000
d28,42.973292,-88.775482,p1,0,1000000
d29,42.973292,-88.775482,p3,0,1000000
d30,42.973292,-88.775482,p2,0.08,100000000000000000000
d31,43.5125096,-88.7761133,p1,0,1000000
d32,43.5125096,-88.7761133,p3,0,1000000
d33,43.5125096,-88.7761133,p2,0.08,100000000000000000000
d34,42.9288944,-88.8370509,p1,0,1000000
d35,42.9288944,-88.8370509,p3,0,1000000
d36,42.9288944,-88.8370509,p2,0.08,100000000000000000000
d37,43.133923,-89.176236,p1,0,1000000
d38,43.133923,-89.176236,p3,0,1000000
d39,43.133923,-89.176236,p2,0.08,100000000000000000000
d40,43.219504,-89.484778,p1,0,1000000
d41,43.219504,-89.484778,p3,0,1000000
d42,43.219504,-89.484778,p2,0.08,100000000000000000000
d43,43.290199,-89.324268,p1,0,1000000
d44,43.290199,-89.324268,p3,0,1000000
d45,43.290199,-89.324268,p2,0.08,100000000000000000000
d46,43.1365465,-88.7221669,p1,0,1000000
d47,43.1365465,-88.7221669,p3,0,1000000
d48,43.1365465,-88.7221669,p2,0.08,100000000000000000000
d49,43.4117065,-88.3770079,p1,0,1000000
d50,43.4117065,-88.3770079,p3,0,1000000
d51,43.4117065,-88.3770079,p2,0.08,100000000000000000000
d52,43.1630453,-88.5742912,p1,0,1000000
d53,43.1630453,-88.5742912,p3,0,1000000
d54,43.1630453,-88.5742912,p2,0.08,100000000000000000000
d55,43.301296,-89.347421,p1,0,1000000
d56,43.301296,-89.347421,p3,0,1000000
d57,43.301296,-89.347421,p2,0.08,100000000000000000000
d58,43.1274563,-89.5536716,p1,0,1000000
d59,43.1274563,-89.5536716,p3,0,1000000
d60,43.1274563,-89.5536716,p2,0.08,100000000000000000000
d61,43.214887,-89.479006,p1,0,1000000
d62,43.214887,-89.479006,p3,0,1000000
d63,43.214887,-89.479006,p2,0.08,100000000000000000000
d64,43.131184,-89.543849,p1,0,1000000
d65,43.131184,-89.543849,p3,0,1000000
d66,43.131184,-89.543849,p2,0.08,100000000000000000000
d67,43.639276,-88.472845,p1,0,1000000
d68,43.639276,-88.472845,p3,0,1000000
d69,43.639276,-88.472845,p2,0.08,100000000000000000000
