#,Latitude,Longitude,Tech ID
cd1,43.2674888,-89.4217271,t1
cd2,43.2674888,-89.4217271,t1
cd3,43.2674888,-89.4217271,t2
cd4,43.2674888,-89.4217271,t2
cd5,43.2674888,-89.4217271,t3
cd6,43.2674888,-89.4217271,t3
cd7,43.5602046,-88.4524125,t1
cd8,43.5602046,-88.4524125,t2
cd9,43.5602046,-88.4524125,t3
cd10,43.5635398,-88.398095,t1
cd11,43.5635398,-88.398095,t2
cd12,43.5635398,-88.398095,t3
cd13,43.667986,-88.862655,t1
cd14,43.667986,-88.862655,t2
cd15,43.667986,-88.862655,t3
cd16,43.646505,-88.9087327,t1
cd17,43.646505,-88.9087327,t2
cd18,43.646505,-88.9087327,t3
cd19,43.459701,-88.427915,t1
cd20,43.459701,-88.427915,t2
cd21,43.459701,-88.427915,t3
cd22,42.80393,-88.686927,t1
cd23,42.80393,-88.686927,t2
cd24,42.80393,-88.686927,t3
cd25,43.486086,-88.741235,t1
cd26,43.486086,-88.741235,t2
cd27,43.486086,-88.741235,t3
cd28,42.973292,-88.775482,t1
cd29,42.973292,-88.775482,t2
cd30,42.973292,-88.775482,t3
cd31,43.5125096,-88.7761133,t1
cd32,43.5125096,-88.7761133,t2
cd33,43.5125096,-88.7761133,t3
cd34,42.9288944,-88.8370509,t1
cd35,42.9288944,-88.8370509,t2
cd36,42.9288944,-88.8370509,t3
cd37,43.133923,-89.176236,t1
cd38,43.133923,-89.176236,t2
cd39,43.133923,-89.176236,t3
cd40,43.219504,-89.484778,t1
cd41,43.219504,-89.484778,t2
cd42,43.219504,-89.484778,t3
cd43,43.290199,-89.324268,t1
cd44,43.290199,-89.324268,t2
cd45,43.290199,-89.324268,t3
cd46,43.1365465,-88.7221669,t1
cd47,43.1365465,-88.7221669,t2
cd48,43.1365465,-88.7221669,t3
cd49,43.4117065,-88.3770079,t1
cd50,43.4117065,-88.3770079,t2
cd51,43.4117065,-88.3770079,t3
cd52,43.1630453,-88.5742912,t1
cd53,43.1630453,-88.5742912,t2
cd54,43.1630453,-88.5742912,t3
cd55,43.301296,-89.347421,t1
cd56,43.301296,-89.347421,t2
cd57,43.301296,-89.347421,t3
cd58,43.1274563,-89.5536716,t1
cd59,43.1274563,-89.5536716,t2
cd60,43.1274563,-89.5536716,t3
cd61,43.214887,-89.479006,t1
cd62,43.214887,-89.479006,t2
cd63,43.214887,-89.479006,t3
cd64,43.131184,-89.543849,t1
cd65,43.131184,-89.543849,t2
cd66,43.131184,-89.543849,t3
cd67,43.639276,-88.472845,t1
cd68,43.639276,-88.472845,t2
cd69,43.639276,-88.472845,t3
