#,Latitude,Longitude,prod,price/tonne,cap
d1,42.667,-89.6038,p44,220,1E+20
d2,43.0729,-89.4056,p44,220,1E+20
d3,43.4428,-89.3061,p44,220,1E+20
d4,43.0424,-88.7408,p44,220,1E+20
d5,43.4213,-88.67,p44,220,1E+20
d6,42.6442,-88.5687,p44,220,1E+20
d7,43.0266,-88.2745,p44,220,1E+20
d8,43.3492,-88.2199,p44,220,1E+20
d9,43.3627,-87.9519,p44,220,1E+20
d10,43.0281,-87.944,p44,220,1E+20
d11,42.739,-87.9285,p44,220,1E+20
d12,42.7046,-89.0218,p46,0,1E+20
d13,43.0869,-88.7566,p46,0,1E+20
d14,42.6441,-88.7218,p46,0,1E+20
d15,43.465,-88.555,p46,0,1E+20
d16,43.188,-88.0765,p46,0,1E+20
d17,42.851,-88.0745,p46,0,1E+20
d18,42.667,-89.6038,p47,290,1E+20
d19,43.4428,-89.3061,p47,290,1E+20
d20,42.676,-89.0604,p47,290,1E+20
d21,43.4213,-88.67,p47,290,1E+20
d22,42.6442,-88.5687,p47,290,1E+20
d23,43.0266,-88.2745,p47,290,1E+20
d24,42.5556,-87.9882,p47,290,1E+20
d25,43.0281,-87.944,p47,290,1E+20
d26,42.667,-89.6038,p48,500,1E+20
d27,43.4428,-89.3061,p48,500,1E+20
d28,42.676,-89.0604,p48,500,1E+20
d29,43.4213,-88.67,p48,500,1E+20
d30,42.6442,-88.5687,p48,500,1E+20
d31,43.0266,-88.2745,p48,500,1E+20
d32,42.5556,-87.9882,p48,500,1E+20
d33,43.0281,-87.944,p48,500,1E+20
d34,42.7046,-89.0218,p50,0,1E+20
d35,43.0869,-88.7566,p50,0,1E+20
d36,42.6441,-88.7218,p50,0,1E+20
d37,43.465,-88.555,p50,0,1E+20
d38,43.188,-88.0765,p50,0,1E+20
d39,42.851,-88.0745,p50,0,1E+20
d40,30.2303,-89.5584,p39,0,1E+20
d41,34.6373,-87.0543,p39,0,1E+20
d42,35.0339,-81.8606,p39,0,1E+20
d43,33.8664,-81.0158,p39,0,1E+20
d44,33.0572,-79.9453,p39,0,1E+20
d45,35.7719,-79.8218,p39,0,1E+20
d46,34.9837,-78.7906,p39,0,1E+20
d47,43.4802,-89.9168,p41,0,1E+20
d48,43.1969,-89.3322,p41,0,1E+20
d49,43.1904,-88.7483,p41,0,1E+20
d50,43.192,-88.725,p41,0,1E+20
d51,42.9476,-88.3687,p41,0,1E+20
d52,43.004,-88.1144,p41,0,1E+20
d53,43.1792,-88.0581,p41,0,1E+20
d54,39.6041,-86.0656,p41,0,1E+20
d55,43.583,-85.4716,p41,0,1E+20
d56,43.5838,-85.4688,p41,0,1E+20
